Date,Open,High,Low,Close,Adj Close,Volume
43164,125.449997,125.529999,124.699997,124.779999,124.057014,5036900
43165,124.959999,125.089996,124.010002,124.400002,123.679222,4066700
43166,124.029999,124.129997,123.599998,123.779999,123.062805,3054800
43167,124,124.169998,123.650002,123.699997,122.983269,1715200
43168,123.959999,124,123.309998,123.68,122.963387,2533700
43171,123.449997,123.940002,123.279999,123.620003,122.903732,1984100
43172,123.980003,124,122.050003,122.629997,121.919464,6211400
43173,122.75,123.209999,120.989998,122.300003,121.591385,6210700
43174,122.290001,123.089996,121.860001,121.879997,121.17382,2211200
43175,121.900002,122.580002,121.150002,122.25,121.541672,3385900
43178,122.099998,123.5,121.760002,122.629997,121.919464,1529700
43179,122.720001,123.239998,122.709999,123.099998,122.386749,1353500
43180,121.900002,122.440002,121.690002,121.959999,121.253357,3147300
43181,121.559998,121.68,120.5,120.919998,120.219376,3138300
43182,121.800003,121.800003,119.5,120.190002,119.493607,2174700
43185,121.379997,121.949997,121,121.610001,120.90538,3412800
43186,122.160004,122.480003,121.32,121.519997,120.815895,3367900
43187,121.529999,121.760002,116.019997,116.260002,115.58638,11205000
43188,117.25,117.660004,115.449997,117,116.322098,4969400
43192,117,117.07,114.57,115.220001,114.552406,4566100
43193,115.529999,116.489998,115.230003,116.410004,115.735512,3379900
43194,115.199997,115.940002,113.769997,115.43,114.761185,4889200
43195,115.290001,116.150002,114.220001,114.779999,114.114952,4686700
43196,114.239998,114.800003,113.379997,113.730003,113.071045,3927500
43199,114.32,114.75,113.650002,114.339996,113.677505,3190800
43200,115.519997,117.360001,115.400002,116.610001,115.934349,6659100
43201,116.709999,116.940002,115.099998,115.879997,115.20858,4931800
43202,115.879997,115.879997,112.25,114.169998,113.508484,10004100
43203,114.089996,115.650002,112.669998,113.440002,112.782722,6605600
43206,113.470001,113.639999,112.650002,112.830002,112.176254,2488500
43207,112.989998,113.940002,112.830002,113.160004,112.504341,2497600
43208,113.010002,113.589996,112.589996,112.989998,112.335327,1512100
43209,110.080002,110.150002,106.75,107.169998,106.549042,12747600
43210,107.889999,108.080002,103.190002,105.150002,104.540749,16428000
43213,105.599998,106.309998,102.82,103.169998,102.572227,9049400
43214,103.160004,103.400002,100.230003,101.709999,101.120682,12601900
43215,102.300003,102.699997,100.360001,101.190002,100.603699,8249400
43216,102,104.760002,101.970001,102.489998,101.896156,9264100
43217,103.900002,105.82,102.970001,105.400002,104.789307,10043300
43220,105.760002,106.370003,104.75,104.900002,104.292206,4016300
43221,104.910004,105.120003,103.360001,103.989998,103.387474,5134100
43222,104.470001,104.550003,102.040001,102.720001,102.124832,5151800
43223,94.220001,95,90.830002,92.360001,91.82486,31709000
43224,93.349998,100.290001,93.209999,100.279999,99.698967,15639000
43227,100,100.239998,98.099998,98.459999,97.889511,3710500
43228,98.309998,98.989998,96.800003,98.790001,98.217606,3644500
43229,99,99.129997,98.239998,98.639999,98.068466,2425400
43230,98.75,99.290001,98.610001,99.290001,98.714706,2832200
43231,99.080002,99.330002,98.300003,99.010002,98.436333,2280500
43234,109.75,114.660004,108.050003,110.739998,110.098358,23168000
43235,112.080002,112.879997,109.580002,110.050003,109.412361,9077200
43236,108.5,109.800003,106.809998,108.839996,108.209366,9651200
43237,109.75,110.370003,103.07,106.709999,106.091713,8530900
43238,106.400002,113,106.300003,111.019997,110.376732,12282700
43241,114.199997,114.970001,113.07,114.650002,113.98571,9542100
43242,117.690002,117.709999,114.760002,115.459999,114.791016,13172900
43243,114,114.190002,111.889999,112.550003,111.897873,5087400
43244,113,113.239998,109.769997,111.510002,110.863907,4273400
43245,111.480003,117.029999,111.360001,116.790001,116.113312,9197500
43249,119,119.110001,115.18,116.279999,115.606262,10126000
43250,114.730003,116.019997,113.360001,115.580002,114.910324,9240100
43251,115.019997,115.400002,112.510002,114,113.33947,8042700
43252,113.309998,114.75,113.120003,114,113.33947,6789300
43255,110.349998,111.290001,109.32,110.699997,110.058594,5488600
43256,110.769997,118,110.239998,116.360001,115.685799,5544000
43257,115.870003,116,113.370003,114.519997,113.856461,4700300
43258,121.75,122.239998,119.900002,120.07,119.374298,23139100
43259,119.449997,120.43,118.5,120.169998,119.473717,6819800
